date,country,valence_intensity,anger_intensity,fear_intensity,sadness_intensity,joy_intensity,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths,cumulative_confirmed_cases_rate,cumulative_deaths_rate
2020-01-01,India,0.391,0.498,0.47100000000000003,0.4320000000000001,0.268,0,0,0,0,0.0,0.0
2020-01-28,Brazil,0.44204761904761897,0.4275,0.4952857142857142,0.424,0.2882857142857143,0,0,0,0,0.0,0.0
2020-01-28,India,0.4439522752497221,0.4362830188679249,0.5279300776914545,0.4343041065482804,0.2867425083240843,0,0,0,0,0.0,0.0
2020-01-28,Singapore,0.4301035714285716,0.4395428571428569,0.5156928571428574,0.4435750000000001,0.2723821428571424,1,0,5,0,8.614239372139104e-05,0.0
2020-01-29,Brazil,0.4535914634146342,0.4188841463414633,0.4617682926829269,0.4024085365853657,0.3052560975609756,0,0,0,0,0.0,0.0
2020-01-29,India,0.4398341061308612,0.4386512107161252,0.5151071612570846,0.4290582174137037,0.28087635239567266,0,0,0,0,0.0,0.0
2020-01-29,Singapore,0.4321869469026552,0.4326681415929203,0.5215508849557525,0.4397865044247789,0.27597234513274344,2,0,7,0,0.00012059935120994744,0.0
2020-01-30,Brazil,0.4534931506849317,0.4125205479452055,0.4795342465753424,0.417568493150685,0.30353424657534256,0,0,0,0,0.0,0.0
2020-01-30,India,0.4658584000000003,0.4274980000000009,0.5070707999999992,0.4203911999999999,0.3064176,1,0,1,0,7.318406070244304e-08,0.0
2020-01-30,Singapore,0.4287191235059758,0.4371155378486053,0.5178157370517924,0.44377091633466104,0.27238545816733056,3,0,10,0,0.00017228478744278207,0.0
2020-01-31,Brazil,0.4577712418300654,0.4150196078431374,0.4732941176470588,0.4133856209150326,0.3022418300653593,0,0,0,0,0.0,0.0
2020-01-31,India,0.4506725538678911,0.4391455316142703,0.5099544330625214,0.4303119039208749,0.29774249381843765,0,0,1,0,7.318406070244304e-08,0.0
2020-01-31,Singapore,0.4320169322709162,0.4346374501992034,0.5103994023904376,0.4401802788844629,0.27065139442231123,3,0,13,0,0.0002239702236756167,0.0
2020-02-01,Brazil,0.436157894736842,0.424938596491228,0.4851491228070175,0.4148070175438597,0.2812807017543859,0,0,0,0,0.0,0.0
2020-02-01,India,0.4582704778157003,0.4362653583617741,0.4916174630261645,0.42759869169510895,0.30693913538111456,0,0,1,0,7.318406070244304e-08,0.0
2020-02-01,Singapore,0.4354620462046205,0.4328514851485147,0.5188844884488445,0.4364867986798683,0.2755775577557754,3,0,16,0,0.0002756556599084513,0.0
2020-02-02,Brazil,0.4471860465116278,0.4333604651162791,0.4854302325581394,0.42140697674418587,0.2899883720930233,0,0,0,0,0.0,0.0
2020-02-02,India,0.4167614967462108,0.4647296095444758,0.5021206073752743,0.4456654013015168,0.2624444685466393,1,0,2,0,1.4636812140488608e-07,0.0
2020-02-02,Philippines,0.46399999999999997,0.354,0.32899999999999996,0.332,0.297,1,1,2,1,1.8498543174980067e-06,9.249271587490036e-07
2020-02-02,Singapore,0.4464616788321164,0.42499270072992695,0.5117974452554744,0.4360985401459851,0.2862098540145989,2,0,18,0,0.00031011261739700773,0.0
2020-02-03,Brazil,0.4597142857142856,0.4159183673469388,0.4678979591836736,0.4093469387755103,0.3043469387755101,0,0,0,0,0.0,0.0
2020-02-03,Canada,0.49,0.295,0.397,0.299,0.308,0,0,4,0,1.0692031587041238e-05,0.0
2020-02-03,India,0.4496240841032177,0.4428190506530741,0.4994976107040475,0.428163109270468,0.29176584899649544,0,0,2,0,1.4636812140488608e-07,0.0
2020-02-03,Singapore,0.4453224489795917,0.4236775510204085,0.5109510204081638,0.42895918367346897,0.280644897959184,0,0,18,0,0.00031011261739700773,0.0
2020-02-04,Brazil,0.4505604395604396,0.4198901098901098,0.4942747252747254,0.42201098901098894,0.2995384615384615,0,0,0,0,0.0,0.0
2020-02-04,India,0.4432093639575964,0.43981095406360415,0.4988202296819788,0.4326130742049469,0.2837707597173146,1,0,3,0,2.1955218210732908e-07,0.0
2020-02-04,Nigeria,0.444,0.35100000000000003,0.5670000000000001,0.42100000000000004,0.293,0,0,0,0,0.0,0.0
2020-02-04,Singapore,0.4447064777327935,0.43309311740890705,0.5099959514170039,0.4400364372469638,0.28272874493927097,0,0,18,0,0.00031011261739700773,0.0
2020-02-05,Brazil,0.4395138888888888,0.4222916666666668,0.4922638888888892,0.4209722222222222,0.28443055555555563,0,0,0,0,0.0,0.0
2020-02-05,India,0.4589325726141082,0.43067842323651373,0.4970809128630705,0.426002074688797,0.2992302904564313,0,0,3,0,2.1955218210732908e-07,0.0
2020-02-05,Singapore,0.4531400000000004,0.4183899999999995,0.5014125000000003,0.4249050000000001,0.2933500000000001,6,0,24,0,0.000413483489862677,0.0
2020-02-06,Brazil,0.4509807692307693,0.43217307692307705,0.5010576923076923,0.4267692307692308,0.28830769230769226,0,0,0,0,0.0,0.0
2020-02-06,India,0.4494097968936677,0.4350537634408599,0.5115555555555563,0.4352007168458779,0.2891326164874558,0,0,3,0,2.1955218210732908e-07,0.0
2020-02-06,Singapore,0.4555469483568076,0.4200140845070426,0.5060798122065725,0.4284436619718309,0.2966244131455396,4,0,28,0,0.00048239740483978975,0.0
2020-02-07,Brazil,0.4472643678160921,0.44231034482758624,0.4681379310344829,0.4173333333333332,0.300471264367816,0,0,0,0,0.0,0.0
2020-02-07,India,0.4402271714922052,0.4458168151447672,0.5109816258351885,0.44099944320712703,0.2808318485523387,0,0,3,0,2.1955218210732908e-07,0.0
