date_stamp,country_region,valence_intensity,anger_intensity,fear_intensity,sadness_intensity,joy_intensity
2020-01-01,India,0.391,0.498,0.471,0.4320000000000001,0.268
2020-01-28,Brazil,0.442047619047619,0.42749999999999994,0.4952857142857142,0.424,0.2882857142857143
2020-01-28,India,0.4439522752497221,0.4362830188679249,0.5279300776914545,0.4343041065482804,0.28674250832408427
2020-01-28,Singapore,0.4301035714285716,0.4395428571428569,0.5156928571428574,0.44357500000000005,0.2723821428571424
2020-01-28,South Africa,0.404,0.444,0.629,0.5660000000000001,0.293
2020-01-28,United States,0.43686924439197244,0.444940377804015,0.5062889610389611,0.430167945690673,0.2847715466351829
2020-01-29,Brazil,0.4535914634146342,0.41888414634146326,0.46176829268292685,0.4024085365853657,0.3052560975609756
2020-01-29,India,0.43983410613086116,0.4386512107161252,0.5151071612570846,0.42905821741370365,0.28087635239567266
2020-01-29,Singapore,0.43218694690265524,0.4326681415929203,0.5215508849557525,0.4397865044247789,0.27597234513274344
2020-01-29,United States,0.43700905258793277,0.4479913620344137,0.4935815769469963,0.426417110082232,0.2890407711975685
2020-01-30,Brazil,0.4534931506849317,0.4125205479452055,0.4795342465753424,0.417568493150685,0.30353424657534256
2020-01-30,India,0.46585840000000034,0.4274980000000009,0.5070707999999992,0.4203911999999999,0.3064176
2020-01-30,Singapore,0.4287191235059758,0.4371155378486053,0.5178157370517924,0.443770916334661,0.27238545816733056
2020-01-30,United States,0.4393087359127134,0.44662012777259447,0.49212296317564735,0.42697774746967293,0.2908467446701603
2020-01-31,Brazil,0.45777124183006535,0.4150196078431374,0.4732941176470588,0.4133856209150326,0.3022418300653593
2020-01-31,Hong Kong,0.273,0.5329999999999999,0.601,0.72,0.18600000000000005
2020-01-31,India,0.4506725538678911,0.4391455316142703,0.5099544330625214,0.43031190392087487,0.29774249381843765
2020-01-31,Singapore,0.4320169322709162,0.4346374501992034,0.5103994023904376,0.44018027888446287,0.27065139442231123
2020-01-31,South Korea,0.423,0.393,0.5870000000000001,0.512,0.284
2020-01-31,United States,0.43781534883720996,0.44725780730897086,0.4912999335548161,0.4263597342192713,0.288626445182724
2020-02-01,Brazil,0.43615789473684197,0.42493859649122795,0.4851491228070175,0.41480701754385974,0.2812807017543859
2020-02-01,India,0.4582704778157003,0.43626535836177405,0.49161746302616444,0.42759869169510895,0.30693913538111456
2020-02-01,Singapore,0.43546204620462053,0.43285148514851474,0.5188844884488445,0.4364867986798683,0.2755775577557754
2020-02-01,United States,0.44237656363489564,0.44358453716406954,0.48383826971188737,0.4208520700508422,0.28980606892099164
2020-02-02,Brazil,0.4471860465116278,0.43336046511627907,0.48543023255813944,0.42140697674418587,0.2899883720930233
2020-02-02,India,0.4167614967462108,0.46472960954447584,0.5021206073752743,0.4456654013015168,0.2624444685466393
2020-02-02,Philippines,0.464,0.354,0.329,0.332,0.297
2020-02-02,Singapore,0.44646167883211635,0.424992700729927,0.5117974452554744,0.4360985401459851,0.28620985401459886
2020-02-02,United States,0.44130739151168297,0.44498235574630385,0.4918683834048651,0.4252788745827381,0.2899419170243191
2020-02-03,Brazil,0.45971428571428563,0.4159183673469388,0.46789795918367355,0.40934693877551026,0.3043469387755101
2020-02-03,Canada,0.49,0.295,0.397,0.299,0.308
2020-02-03,India,0.4496240841032177,0.44281905065307414,0.4994976107040475,0.42816310927046797,0.29176584899649544
2020-02-03,Singapore,0.44532244897959167,0.42367755102040844,0.5109510204081638,0.428959183673469,0.28064489795918396
2020-02-03,United States,0.4455036126388435,0.43826388439555736,0.4932588159171786,0.42218915129947177,0.294725762967755
2020-02-04,Brazil,0.4505604395604396,0.41989010989010983,0.49427472527472543,0.42201098901098894,0.2995384615384615
2020-02-04,India,0.4432093639575964,0.43981095406360415,0.49882022968197876,0.4326130742049469,0.2837707597173146
2020-02-04,Nigeria,0.444,0.35100000000000003,0.5670000000000001,0.421,0.293
2020-02-04,Singapore,0.4447064777327935,0.433093117408907,0.5099959514170039,0.4400364372469638,0.28272874493927097
2020-02-04,South Africa,0.617,0.303,0.282,0.204,0.518
2020-02-04,United States,0.4461958041958036,0.43791466160957676,0.4913885267275056,0.42211651060803274,0.29325139267512035
2020-02-05,Brazil,0.4395138888888888,0.4222916666666668,0.49226388888888917,0.4209722222222222,0.28443055555555563
2020-02-05,India,0.4589325726141082,0.43067842323651384,0.4970809128630705,0.42600207468879703,0.2992302904564313
2020-02-05,Singapore,0.4531400000000004,0.41838999999999954,0.5014125000000003,0.4249050000000001,0.29335000000000006
2020-02-05,United States,0.4461461897356138,0.4380190081216504,0.49681942284430447,0.4244129946431647,0.29046120615171855
2020-02-06,Brazil,0.45098076923076924,0.432173076923077,0.5010576923076923,0.4267692307692308,0.28830769230769226
2020-02-06,India,0.44940979689366767,0.4350537634408599,0.5115555555555563,0.4352007168458779,0.2891326164874558
2020-02-06,Singapore,0.4555469483568076,0.4200140845070426,0.5060798122065725,0.4284436619718309,0.2966244131455396
2020-02-06,United Kingdom,0.406,0.482,0.5379999999999999,0.459,0.217
2020-02-06,United States,0.4501039223615032,0.43372199757379654,0.5045204205418519,0.42707541447634556,0.2933685806712499
2020-02-07,Brazil,0.4472643678160921,0.44231034482758624,0.4681379310344829,0.4173333333333332,0.300471264367816
2020-02-07,India,0.4402271714922052,0.4458168151447672,0.5109816258351885,0.440999443207127,0.2808318485523387
2020-02-07,Singapore,0.4304889807162529,0.43955922865013775,0.5111900826446292,0.44531129476584036,0.2750757575757577
